iter	RMSE
127	1691.991328
128	1680.895648
129	1670.493017
130	1660.253806
131	1649.105124
132	1639.300486
133	1635.011517
134	1625.741037
135	1615.541115
136	1606.951695
137	1596.420476
138	1591.120327
139	1582.146113
140	1574.729644
141	1569.332231
142	1558.260462
143	1548.875925
144	1541.071316
145	1537.258335
146	1527.531091
147	1518.683607
148	1514.035353
149	1508.518842
150	1503.329518
151	1495.733596
152	1488.85481
153	1482.72659
154	1476.237041
155	1468.576775
156	1462.198573
157	1455.512692
158	1450.086468
159	1442.785057
160	1435.991597
161	1430.316024
162	1422.74146
163	1414.860948
164	1408.896138
165	1403.535431
166	1396.882791
167	1390.33505
168	1382.992303
169	1377.510192
170	1369.487455
171	1363.851697
172	1359.322691
173	1354.078544
174	1348.43088
175	1346.529876
176	1340.995508
177	1336.875761
178	1329.453698
179	1323.151613
180	1315.975484
181	1312.75306
182	1307.365551
183	1302.007457
184	1299.559312
185	1297.21602
186	1291.392239
187	1287.881391
188	1283.07779
189	1278.37506
190	1273.248004
191	1269.198831
192	1264.463943
193	1257.261868
194	1251.648487
195	1249.375576
196	1245.342911
197	1240.539044
198	1236.703104
199	1232.486701
200	1228.468311
201	1224.263027
202	1219.905724
203	1216.904688
204	1213.399413
205	1207.899245
206	1204.867421
207	1198.538716
208	1193.46713
209	1189.718434
210	1186.546481
211	1181.252102
212	1175.06512
213	1169.462265
214	1164.627658
215	1160.913361
216	1157.78677
217	1153.002249
218	1147.06543
219	1143.844747
220	1137.852457
221	1134.389593
222	1131.100668
223	1126.995962
224	1123.937815
225	1120.831135
226	1116.064119
227	1112.475231
228	1109.191843
229	1105.200173
230	1102.191293
231	1099.299621
232	1095.352538
233	1092.597273
234	1089.572383
235	1086.135854
236	1083.418622
237	1080.498593
238	1077.980762
239	1072.732628
240	1069.991019
241	1067.727345
242	1065.699577
243	1062.821955
244	1059.623226
245	1057.086114
246	1054.985728
247	1052.474997
248	1049.800054
249	1047.534786
250	1044.238006
251	1041.512277
252	1038.50286
253	1036.588737
254	1034.357418
255	1031.912675
256	1029.550006
257	1027.787223
258	1025.374788
259	1022.806742
260	1020.025382
261	1017.824882
262	1016.238526
263	1014.138802
264	1011.093345
265	1008.484643
266	1006.191309
267	1004.401645
268	1001.963146
269	1000.034666
270	998.2002933
271	996.1519135
272	994.4696004
273	987.6840123
274	985.9035765
275	984.3200246
276	979.6016683
277	977.9670802
278	976.6319053
279	970.1951516
280	967.6987007
281	965.3119694
282	963.3011552
283	957.7106564
284	951.7528751
285	948.468337
286	946.3900251
287	945.5813254
288	942.1292489
289	936.2013453
290	930.2398245
291	926.9509462
292	925.9435307
293	923.6443774
294	918.8734651
295	916.9723089
296	915.6712562
297	912.8774549
298	907.6179819
299	905.879729
300	900.598792
301	899.2871864
302	898.0080611
303	896.6099188
304	895.5615762
305	891.8977951
306	887.3519694
307	884.9461578
308	883.9016472
309	883.1282609
310	882.2468043
311	881.3659249
312	876.9763974
313	875.6634855
314	870.6297017
315	866.6418281
316	863.7648475
317	859.3362638
318	857.9020649
319	857.1796286
320	854.8042579
321	853.6853754
322	852.7431438
323	851.631018
324	850.7881585
325	846.7022613
326	842.0148246
327	837.6221129
328	833.5398873
329	832.6796156
330	828.5150314
331	824.579856
332	820.9274531
333	820.0747191
334	816.9480659
335	815.7756886
336	813.0216365
337	810.7940565
338	807.3766229
339	804.656369
340	801.9691146
341	799.1073392
342	795.0920016
343	794.3132117
344	793.5010095
345	791.2110152
346	787.1629164
347	785.7139693
348	783.3331914
349	779.6241844
350	778.3836646
351	775.2738159
352	771.5995622
353	770.7312761
354	767.3945223
355	765.2100358
356	763.1170152
357	761.047207
358	759.9030217
359	757.0718045
360	753.7347319
361	753.0383047
362	751.3659498
363	750.7142257
364	748.3449081
365	746.3644444
366	745.5889594
367	743.0023632
368	742.2063371
369	741.4846674
370	738.7759777
371	737.7882203
372	737.3835845
373	734.8371123
374	732.7762503
375	729.6621076
376	727.9343369
377	726.7647597
378	726.0099173
379	725.3278397
380	724.7485903
381	724.0908515
382	720.7912105
383	720.2353773
384	719.085301
385	717.6867866
386	717.3228878
387	714.7960723
388	711.2648055
389	708.4034935
390	707.4968505
391	706.9834081
392	706.6129224
393	705.7247262
394	705.3835806
395	704.2085173
396	703.2712796
397	701.2078216
398	698.2917202
399	696.6280467
400	696.0129525
401	694.7111798
402	692.7129237
403	691.8120386
404	690.6697104
405	688.1965755
406	686.2100703
407	685.7532944
408	683.0471901
409	682.6414828
410	680.2530299
411	678.8248819
412	678.0383269
413	676.8175594
414	674.3428456
415	672.5451704
416	671.1341136
417	670.5515685
418	668.488045
419	666.8176804
420	664.625573
421	664.0117291
422	661.9763788
423	661.2605556
424	659.7817666
425	658.1800543
426	657.882252
427	657.3547866
428	657.0078602
429	654.9458987
430	654.411226
431	654.0338207
432	652.378496
433	651.8603726
434	651.4105612
435	651.0660673
436	650.5242432
437	647.7842182
438	646.067023
439	644.1263765
440	642.1535767
441	640.1333678
442	639.4942906
443	637.0731294
444	636.1054029
445	635.3528216
446	633.4652535
447	630.7396107
448	630.1107991
449	628.000491
450	626.3491495
451	626.1031191
452	625.1899966
453	624.2457712
454	623.7383102
455	621.3800512
456	620.2520451
457	619.7734015
458	617.7250318
459	615.7940343
460	614.0879604
461	612.871179
462	611.6923086
463	610.6667341
464	609.5216008
465	607.667911
466	606.0290036
467	605.6753123
468	604.4475694
469	602.7315147
470	602.4631891
471	601.7256679
472	599.793749
473	598.8097439
474	596.5444257
475	594.0621725
476	591.54801
477	590.8905556
478	589.4635925
479	589.175277
480	586.7308555
481	585.399946
482	585.1405312
483	584.4753695
484	583.2758186
485	581.9527457
486	580.3106885
487	578.0673045
488	577.2106551
489	575.4949104
490	574.7357667
491	574.4906812
492	572.4248796
493	571.6142831
494	570.7320341
495	569.1451831
496	568.5908262
497	566.659102
498	566.3419182
499	564.1365693
500	562.7784557
501	562.5374611
502	560.5083916
503	559.9708402
504	558.5288598
505	557.2295347
506	556.3341579
507	555.3681603
508	555.151819
509	553.3025144
510	551.0300743
511	550.5694356
512	548.7741277
513	547.5415564
514	547.25849
515	546.1001692
516	545.6480219
517	544.2912155
518	543.8261419
519	542.6529655
520	541.1324769
521	539.7644274
522	538.1479283
523	537.9008163
524	536.6991822
525	535.0842566
526	533.031595
527	531.2681963
528	529.6243594
529	528.1397187
530	527.1440985
531	525.4546303
532	524.4587248
533	523.5457743
534	522.7006173
535	521.8931861
536	521.6756953
537	521.4901039
538	521.2891465
539	521.1414169
540	520.452391
541	519.224743
542	518.2458486
543	517.7915289
544	517.1846853
545	516.7181621
546	515.1169537
547	514.0446512
548	512.687491
549	512.2734409
550	511.296395
551	510.6456786
552	509.6570552
553	508.8516499
554	507.8128586
555	507.2539608
556	505.6607041
557	504.7497177
558	504.5682926
559	503.2947645
560	502.9325442
561	501.731501
562	501.5922383
563	501.4169221
564	500.0601207
565	498.3746593
566	497.7560614
567	497.5097517
568	497.0987795
569	495.6236746
570	494.6342854
571	493.7541193
572	492.3535146
573	492.1691146
574	491.9776103
575	490.9535149
576	490.0331143
577	488.8727512
578	488.7145956
579	487.5737505
580	486.6572723
581	486.5341358
582	485.4402732
583	484.1297789
584	483.3103626
585	483.1687612
586	482.1909783
587	481.0855515
588	480.7806358
589	479.1043142
590	478.1097911
591	476.8966813
592	475.8070594
593	475.0226407
594	473.9600718
595	473.6053712
596	473.0319832
597	471.6365902
598	470.5225886
599	469.4734314
600	468.9169344
601	467.8115597
602	467.2069228
603	466.4896212
604	466.2880851
605	465.2766918
606	464.1980383
607	462.9257359
608	462.8172111
609	461.681292
610	460.7161637
611	459.9230783
612	459.5730572
613	458.9924069
614	457.6804748
615	456.7665299
616	455.1503125
617	453.8990151
618	453.5656723
619	453.4139973
620	451.6231537
621	451.2539929
622	450.589667
623	449.1230984
624	448.2328969
625	447.7548454
626	447.5490123
627	446.5688438
628	445.8963706
629	445.6779164
630	445.5307834
631	444.8446727
632	444.0602586
633	443.5271619
634	442.2525373
635	441.0801946
636	440.7277329
637	439.6088648
638	438.4337852
639	438.2199965
640	436.9120246
641	436.5264899
642	435.9865948
643	435.8509717
644	434.4466759
645	433.4318267
646	432.3630965
647	431.4579854
648	430.76322
649	429.4285315
650	427.9724201
651	427.7396644
652	426.8929468
653	426.7618592
654	425.9177777
655	425.8219527
656	425.313301
657	424.6893465
658	423.3253458
659	422.7179921
660	422.4075466
661	422.1848258
662	420.7592523
663	420.6390706
664	419.8321189
665	418.7673997
666	418.0746716
667	417.1083906
668	415.8643753
669	415.6084035
670	415.4890707
671	414.6953358
672	414.4352696
673	414.2885409
674	413.6148903
675	412.9403927
676	412.745495
677	411.870709
678	411.2218218
679	410.5967108
680	410.3130375
681	409.5876808
682	409.4003264
683	409.1488354
684	408.5193852
685	407.7675242
686	406.0972935
687	405.3051062
688	404.6251337
689	403.9075431
690	402.8490264
691	402.0676871
692	401.5722296
693	400.5867282
694	399.9571189
695	398.7736032
696	398.0366908
697	397.4192467
698	397.3011595
699	396.0732154
700	395.1691716
701	394.0125251
702	392.9078661
703	391.5179308
704	390.90918
705	390.7373415
706	389.7831436
707	388.9937491
708	388.481169
709	388.3798332
710	388.2808016
711	387.940322
712	387.3594671
713	387.2227359
714	386.6568724
715	386.0409117
716	384.9648933
717	383.9504475
718	383.0709142
719	382.4491612
720	381.262321
721	380.3844259
722	379.8611457
723	379.6209369
724	378.9930572
725	378.1023555
726	377.859142
727	377.5692218
728	376.7901815
729	376.2596427
730	375.5163263
731	375.3164368
732	374.4608967
733	373.6729975
734	373.4154744
735	373.203413
736	372.863737
737	372.0740462
738	371.5082536
739	370.7877785
740	370.2732307
741	370.1662412
742	368.98556
743	368.785633
744	368.5741536
745	368.4725599
746	367.9266404
747	367.8219218
748	366.726393
749	366.1404456
750	365.6050191
751	365.0063577
752	364.4089239
753	364.1143711
754	363.5372832
755	362.6679433
756	362.0229303
757	360.8766846
758	360.0501727
759	359.2553151
760	358.7630698
761	358.1107628
762	357.495872
763	356.7132055
764	356.4250714
765	355.6771129
766	355.0640985
767	354.9816871
768	354.3784733
769	353.5758354
770	352.6968684
771	352.2338848
772	351.543471
773	351.0553892
774	350.4805834
775	350.0055894
776	349.534225
777	349.4717531
778	348.5951195
779	348.0703355
780	347.3092742
781	346.6427441
782	346.1301172
783	345.4845505
784	344.7886726
785	344.2175137
786	343.9023089
787	343.6946767
788	343.4740966
789	343.0412752
790	342.0990278
791	341.2847558
792	340.6407616
793	340.2674723
794	340.2088525
795	340.1357521
796	339.6129203
797	339.092464
798	338.7482638
799	338.1495744
800	337.8514469
801	337.3895954
802	336.9236989
803	336.2183667
804	335.3279136
805	335.147086
806	334.5343727
807	333.8839823
808	333.8198647
809	333.1247119
810	332.8123876
811	332.3227032
812	332.0548028
813	331.6476224
814	331.4854951
815	330.3152601
816	330.2358836
817	329.7929903
818	329.5922669
819	329.0106176
820	328.5528545
821	328.0985875
822	327.1646404
823	326.47599
824	325.5707112
825	324.821858
826	324.3827166
827	324.1406694
828	323.7436615
829	323.4864784
830	323.4104402
831	322.406009
832	321.9570599
833	321.328571
834	320.961016
835	320.3067566
836	319.5204382
837	319.4607917
838	318.9455003
839	318.4203244
840	318.3377721
841	318.0085115
842	317.482762
843	317.4249948
844	316.9324232
845	316.5736053
846	316.1466818
847	315.7930512
848	315.4737733
849	315.3950107
850	314.9565578
851	314.3550817
852	313.7386998
853	313.6790577
854	313.5317854
855	313.2429167
856	312.8439202
857	312.4666607
858	312.0067226
859	311.6679561
860	310.8588456
861	310.068736
862	309.9186517
863	309.8647555
864	309.8145419
865	309.6023782
866	309.4207081
867	309.0795987
868	308.8159596
869	308.4535785
870	308.1198612
871	307.6813979
872	307.3084211
873	307.0383063
874	306.6172419
875	306.2480749
876	305.9080858
877	305.6408629
878	305.4692584
879	305.0890829
880	305.030051
881	304.7231644
882	304.2786452
883	303.8002851
884	303.0331511
885	302.648719
886	302.5134948
887	302.0288269
888	301.4976115
889	301.3870384
890	300.7947678
891	300.5758425
892	300.0419829
893	299.6320955
894	298.9128632
895	298.6587538
896	298.6119198
897	298.3084069
898	297.8580935
899	297.5570943
900	297.1069149
901	296.646145
902	296.4994794
903	296.4362885
904	296.0989304
905	295.7976792
906	295.6136706
907	295.1299902
908	294.6922856
909	294.6150136
910	294.1734964
911	294.0010856
912	293.9519153
913	293.3815142
914	293.1877687
915	292.8127762
916	292.7187232
917	292.6711183
918	292.3463297
919	291.9014306
920	291.2906385
921	290.7607229
922	290.4763596
923	290.205898
924	290.1416626
925	290.0920046
926	289.6337114
927	289.5799971
928	289.0284395
929	288.4160527
930	288.2991548
931	287.8675837
932	287.7619502
933	287.3727713
934	286.9312072
935	286.5912569
936	286.1859326
937	286.1087034
938	286.0328824
939	285.7831385
940	285.1459169
941	284.8670854
942	284.6276408
943	284.226442
944	284.1401407
945	283.6760753
946	283.1899126
947	283.1108892
948	282.75963
949	282.4369619
950	282.0298014
951	281.4033844
952	281.0804094
953	280.6634343
954	280.6191091
955	280.5732185
956	280.2879323
957	280.2239839
958	279.5618345
959	279.1816448
960	278.9164759
961	278.4923146
962	278.1274853
963	277.9150695
964	277.5336809
965	277.015437
966	276.8736597
967	276.8119098
968	276.4338694
969	276.0103932
970	275.5294231
971	274.9690412
972	274.5075351
973	273.9354513
974	273.479144
975	272.6107927
976	271.9825008
977	271.4249308
978	271.0024091
979	270.776384
980	270.2901803
981	270.1754349
982	270.044731
983	269.988694
984	269.9250007
985	269.6466803
986	269.2966116
987	268.8219183
988	268.2987983
989	268.2293537
990	268.0197546
991	267.4787484
992	267.0064507
993	266.6148813
994	266.3870278
995	266.3442193
996	265.9543824
997	265.5010236
998	265.18998
999	264.5028039
